scenario_id,shape_index,design_index,rows,columns,n_p,n_q,target_mi,margin_alpha_p,margin_alpha_q,association_p,association_q,generation_attempts,true_mi_p,true_mi_q,true_delta,distribution_l1,population_variance_p,population_variance_q,min_probability_p,min_probability_q,min_joint_expected_p,min_joint_expected_q,independence_expected_below_1_p,independence_expected_below_1_q,independence_expected_below_5_p,independence_expected_below_5_q,is_permutation_anchor,probability_p_json,probability_q_json
random_2x5_d4,1,4,2,5,200,400,0.07,10.0,0.8,0.5093355740551934,0.36150682782251403,1,0.0700000000000005,0.07000000000000006,4.440892098500626e-16,0.8441751916527864,0.11234613241473755,0.12409776625672898,0.009891668890726422,0.0005455730344447482,1.9783337781452845,0.21822921377789928,0.0,0.2,0.0,0.4,False,"[[0.1033665510611128, 0.10784603228968255, 0.1276230397402312, 0.17577423513372534, 0.11298244734044965], [0.08369274387014324, 0.09695452745644198, 0.009891668890726422, 0.045707691933372686, 0.13616106228411426]]","[[0.0012062654101385741, 0.11254568309185199, 0.16933885588648195, 0.22699300077665135, 0.008410101724686161], [0.0005455730344447482, 0.20104712168124417, 0.21841230335840783, 0.0575478264759361, 0.003953268560157178]]"
random_2x5_d5,1,5,2,5,120,480,0.15,2.0,20.0,1.7944715860606468,0.623051312997278,1,0.15000000000000013,0.15000000000000013,0.0,0.8962813783142521,0.22468827104751443,0.24969930115055633,1.635490288290429e-05,0.02636616418231152,0.001962588345948515,12.65575880750953,0.0,0.0,0.5,0.0,False,"[[1.635490288290429e-05, 0.012032347025004563, 0.00010657067459834523, 0.026348752757989875, 0.10249423933693351], [0.25269248257833477, 0.18973005346996982, 0.13470598717509147, 0.19692521423756892, 0.08494799784162582]]","[[0.24163444089824615, 0.13313941333019405, 0.06035623562586898, 0.02636616418231152, 0.1276426998179145], [0.05544705371251721, 0.04060238481400895, 0.12424898803507654, 0.1452845038365316, 0.045278115747330476]]"
random_3x3_d0,2,0,3,3,900,900,0.03,50.0,50.0,0.24382786075758933,0.2591815605702752,1,0.030000000000004245,0.03000000000000047,3.774758283725532e-15,0.3424378599086284,0.05697848594319428,0.057208578458551096,0.07206247849743955,0.06170641893840043,64.8562306476956,55.53577704456039,0.0,0.0,0.0,0.0,False,"[[0.09687281460537536, 0.07206247849743955, 0.1583876379394799], [0.08756805391121315, 0.10761825523382805, 0.12896056739890896], [0.09577519789767963, 0.16611926020995593, 0.08663573430611965]]","[[0.13060842136982442, 0.1379949353094472, 0.12034455494166223], [0.15596902448086014, 0.07322493466143955, 0.09401960899330249], [0.06170641893840043, 0.13634647119073348, 0.08978563011433]]"
random_3x3_d1,2,1,3,3,450,900,0.07,20.0,5.0,0.45949788841051065,0.5528558513511606,1,0.07000000000003026,0.07000000000000006,3.019806626980426e-14,0.7789303848914855,0.11251576681407743,0.12382007929763349,0.029662749872652737,0.0031797187659631508,13.348237442693732,2.861746889366836,0.0,0.0,0.0,0.0,False,"[[0.12303142828381902, 0.029662749872652737, 0.11863686681018998], [0.12226695405236469, 0.20279128358443393, 0.07327806195553951], [0.10044003399399887, 0.14629074938078435, 0.08360187206621679]]","[[0.05011946657699256, 0.10163052500612947, 0.18944706653940407], [0.0031797187659631508, 0.05018603663919727, 0.0284173134482614], [0.20412300172911782, 0.23876838384489443, 0.1341284874500397]]"
random_3x3_d2,2,2,3,3,225,900,0.15,5.0,1.2,0.6731248216563163,0.9504306200988836,1,0.15000000000000102,0.1499999999999997,1.3322676295501878e-15,0.8749353005967021,0.23750665619249198,0.336468350016603,0.016863655156727414,0.006067684542942547,3.794322410263668,5.460916088648292,0.0,0.0,0.0,0.0,False,"[[0.016863655156727414, 0.022721536873488556, 0.18983715709618623], [0.10245105005942445, 0.1721383623955559, 0.04374010351288494], [0.05712810084541358, 0.2049832165672387, 0.19013681749308012]]","[[0.07754530195481622, 0.011420882086315877, 0.006067684542942547], [0.012190813602952884, 0.24301133640949243, 0.03847755796404093], [0.03428662895031813, 0.5108962460535645, 0.06610354843555655]]"
random_3x3_d3,2,3,3,3,1800,1800,0.03,1.0,0.5,0.3185538093093364,0.8659680087142319,2,0.029999999999987925,0.029999999999995586,-7.66053886991358e-15,1.2232411401924002,0.059242739648073056,0.046503246973394016,0.000556251566272873,0.00020958293000778637,1.0012528192911714,0.3772492740140155,0.0,0.0,0.1111111111111111,0.1111111111111111,False,"[[0.0025198070632552107, 0.17499866735604536, 0.1782289271563622], [0.01219972919534788, 0.41647629693808574, 0.15013407989543343], [0.000556251566272873, 0.04804636722311561, 0.016839873606081794]]","[[0.08461303119448338, 0.028767961800295005, 0.0006344825409332064], [0.5407991245805016, 0.25930436996301837, 0.05986457685367626], [0.001484202146090967, 0.02432266799099348, 0.00020958293000778637]]"
random_3x3_d4,2,4,3,3,180,360,0.07,10.0,0.8,0.37826045249314794,0.30890007911172573,1,0.07000000000000006,0.07000000000000028,-2.220446049250313e-16,0.9400801756163493,0.13098581585354557,0.12883728928453825,0.04663825206096828,0.010154947792400736,8.39488537097429,3.655781205264265,0.0,0.0,0.0,0.1111111111111111,True,"[[0.09299445012244198, 0.05119118050026619, 0.054810885944784414], [0.10520104385165047, 0.19888283788425554, 0.04663825206096828], [0.12053349620816309, 0.1245912596492446, 0.20515659377822545]]","[[0.12397289317999073, 0.02091447959526428, 0.2405591822672288], [0.296972816254369, 0.022457176494490683, 0.10817982808643127], [0.06609906961685336, 0.010154947792400736, 0.11068960671297115]]"
random_3x3_d5,2,5,3,3,120,480,0.15,2.0,20.0,1.229749175545193,0.6189759726540919,1,0.15000000000000024,0.14999999999999947,7.771561172376096e-16,1.0528591257143218,0.200640952164145,0.24821992910443436,0.0021331106807922313,0.023469954519743663,0.2559732816950678,11.265578169476958,0.0,0.0,0.3333333333333333,0.0,False,"[[0.21706512602114755, 0.14695390751996842, 0.3176726789005506], [0.04179016412933793, 0.0021331106807922313, 0.031278454082627374], [0.0024655106558992396, 0.1749594787159649, 0.06568156929371162]]","[[0.023469954519743663, 0.1797101910985169, 0.09539080011439202], [0.24103679396287056, 0.11303761430222962, 0.0547034124897067], [0.08159935004962811, 0.06440696614636662, 0.14664491731654586]]"
random_3x7_d0,3,0,3,7,2100,2100,0.03,50.0,50.0,0.2469220044327292,0.2565112886421822,1,0.03000000000000025,0.029999999999999805,4.440892098500626e-16,0.38053254956988664,0.05928356040230369,0.056087048410102494,0.025671562103614032,0.026029257225234602,53.91028041758947,54.66144017299266,0.0,0.0,0.0,0.0,False,"[[0.025671562103614032, 0.03293202251054206, 0.06671707355957579, 0.03182420383024501, 0.053296046626029964, 0.04494074777552856, 0.04247127732817047], [0.039646410231013604, 0.053783815036584616, 0.04075377671892393, 0.03520375007952917, 0.025980934329831163, 0.05186874200093516, 0.07334457965700754], [0.05898319480008297, 0.053541675024892994, 0.04810539224998429, 0.0706034582755974, 0.05485411167198889, 0.053187416351993415, 0.04228980983792905]]","[[0.04858322976160222, 0.06088654833371269, 0.028924179227439957, 0.03882492612075939, 0.03182306995943531, 0.05218461702799229, 0.031843137782756194], [0.03415148101277124, 0.05578392608397021, 0.05267804751698321, 0.04535035317049474, 0.041384390376813095, 0.07780411100379613, 0.03138105593484417], [0.04884708198221793, 0.026029257225234602, 0.0786959938038079, 0.05494423603735483, 0.035248053227361964, 0.06058610424869734, 0.06404620016195449]]"
random_3x7_d1,3,1,3,7,1050,2100,0.07,20.0,5.0,0.4004658503575865,0.39019635387015933,1,0.0700000000000005,0.06999999999999984,6.661338147750939e-16,0.6142441586373683,0.12530085292172755,0.1299876859980272,0.013707999482703575,0.008117751600254316,14.393399456838754,17.047278360534065,0.0,0.0,0.0,0.0,False,"[[0.026404768535371034, 0.031240413068586763, 0.03811418018336884, 0.04233160236951529, 0.060270884530276056, 0.03154084079224014, 0.04181031413508607], [0.013707999482703575, 0.07042922960942559, 0.04692250898200376, 0.06438512387772652, 0.05613337210374496, 0.023292296563132746, 0.052520482306388463], [0.08905899382291281, 0.06569579832744725, 0.05832254178409256, 0.04056906730413758, 0.029612853846443056, 0.0858038267014455, 0.03183290167395158]]","[[0.03824735982022459, 0.023321231095340223, 0.06666432344266161, 0.03996992953862405, 0.01758035308160154, 0.10766084028518234, 0.0937155002978805], [0.037406720753254685, 0.02051326057813805, 0.06201318932409585, 0.05117915743827627, 0.03679210416118435, 0.022245848395586108, 0.045468271531922094], [0.028539698403204947, 0.008117751600254316, 0.12475984161901779, 0.07404652497537026, 0.01924142834300316, 0.053713967772668826, 0.02880269754250854]]"
random_3x7_d2,3,2,3,7,525,2100,0.15,5.0,1.2,0.602844268911111,1.0279855082414928,1,0.14999999999999747,0.14999999999999925,-1.7763568394002505e-15,1.0661253373063342,0.26655045971564145,0.19780458230720024,0.004923344599738301,0.0002344693362398343,2.5847559148626083,0.492385606103652,0.0,0.0,0.0,0.0,False,"[[0.0882405994767126, 0.023759218531857203, 0.038266268662604776, 0.022642111493917524, 0.041685724613578244, 0.05751578343476637, 0.08635375544954295], [0.018424795598895365, 0.01182243224129131, 0.01977703621968108, 0.004923344599738301, 0.09338347584283119, 0.005912539209387129, 0.11394817746894521], [0.06473761769571824, 0.05700485620117829, 0.06332845233051106, 0.08477146144180932, 0.02848316251238851, 0.01926923816991862, 0.055749948804726626]]","[[0.11545311506360559, 0.1631265877193308, 0.09923862180043369, 0.13232427705309627, 0.06349172767006962, 0.04209019305488989, 0.04837434701488514], [0.050423078543708005, 0.0044672608841247975, 0.0011019357144215973, 0.14694732378022735, 0.04415904235436534, 0.0037774686699091403, 0.015479928640286023], [0.03900798968494031, 0.0002344693362398343, 0.010739974006190573, 0.015862222137944023, 0.0030435481893019345, 0.00031057801171958894, 0.00034631067031070235]]"
random_3x7_d3,3,3,3,7,4200,4200,0.03,1.0,0.5,0.264339589603038,0.44700537079112074,1,0.029999999999985816,0.02999999999999936,-1.354472090042691e-14,0.8587717434091544,0.059113085347951906,0.05690435753601077,0.023198889544638685,0.002397846558908728,97.43533608748248,10.070955547416657,0.0,0.0,0.0,0.0,True,"[[0.04054093845549449, 0.023337134582261852, 0.025233858514633493, 0.04552091564841663, 0.023198889544638685, 0.03042447585462733, 0.03426511611895267], [0.037008616643266, 0.07933558930608885, 0.02571445946644179, 0.04959950218016832, 0.08012756150577388, 0.05368054868735436, 0.11462919664747523], [0.03386118998379126, 0.028210061131033276, 0.02811808710897065, 0.04476785077117056, 0.06282613734744438, 0.057486539125759586, 0.08211333137623672]]","[[0.002894674337039331, 0.010896935846257678, 0.004103040611603861, 0.005802009466776343, 0.04157543700101124, 0.002397846558908728, 0.008481966910306598], [0.003016222192350553, 0.08832065895374264, 0.020673013143837286, 0.0036004376026862414, 0.11495338154738084, 0.0033472618714026786, 0.06710624812484751], [0.015275313038789175, 0.16680405088367228, 0.10131185199521263, 0.013405662295611626, 0.19275073370566098, 0.025683838974818823, 0.107599414938083]]"
random_3x7_d4,3,4,3,7,420,840,0.07,10.0,0.8,0.45687549173954156,0.7798192149326393,1,0.0700000000000005,0.06999999999999962,8.881784197001252e-16,0.703766742500246,0.11964599743872227,0.12379614093385877,0.00995832929058232,0.0007221204297062836,4.182498302044575,0.6065811609532782,0.0,0.0,0.0,0.047619047619047616,False,"[[0.06032365627697469, 0.046643541239064036, 0.08785375279666266, 0.05941601911036048, 0.02966933158369393, 0.05259804964807393, 0.05160733955772758], [0.01733135985642869, 0.059923564293076256, 0.1375114913807355, 0.04496300784942535, 0.020402282207615193, 0.05249951625494831, 0.07393300692656787], [0.043224789395314094, 0.030302122671771282, 0.015014963523361095, 0.00995832929058232, 0.03408956574450452, 0.04815840686282807, 0.024575903530284257]]","[[0.012130489569664556, 0.024249745317227577, 0.07699768294884812, 0.0007221204297062836, 0.0018380593109702753, 0.019306002780128825, 0.04040208297921604], [0.051117938772129126, 0.06027863244274932, 0.13680529698114835, 0.04258250547643892, 0.011604777730524757, 0.0052707237563022315, 0.039273931787771985], [0.08891643585901783, 0.028846890763631727, 0.18399130688689386, 0.025618907760398307, 0.0350182927908171, 0.003967843284746118, 0.11106033237166867]]"
random_3x7_d5,3,5,3,7,210,840,0.15,2.0,20.0,0.7962117719401987,0.6687411446098976,1,0.15000000000000124,0.1499999999999999,1.3322676295501878e-15,0.9194859427682603,0.24703524418955858,0.2353941187083844,0.000373942438056213,0.008211593387432138,0.07852791199180473,6.897738445442996,0.047619047619047616,0.0,0.3333333333333333,0.0,False,"[[0.001984752007260529, 0.019882021006115205, 0.028978336900593843, 0.021278431152361794, 0.11623241672658738, 0.006856637536055465, 0.02134079176732881], [0.019906084002008082, 0.08822265968174099, 0.015594305388125352, 0.08567131784962666, 0.08860773373911963, 0.13821475785447468, 0.17886431900770827], [0.000373942438056213, 0.01486268800005392, 0.013388839936968086, 0.003046873063606662, 0.009840207024136832, 0.06971915653645032, 0.05713372838162148]]","[[0.02196568309490632, 0.008211593387432138, 0.06606577680755359, 0.030689527434178472, 0.052047915702368344, 0.07862741084568252, 0.017298346785875714], [0.09084272407103101, 0.10844591004235518, 0.06959567034700175, 0.050017068647355126, 0.027465718349203576, 0.02793409589563328, 0.10693221864031706], [0.04427317387395675, 0.07709068551345077, 0.00941158228024951, 0.03707704918535231, 0.0460142773626612, 0.01950728428591513, 0.010486287447520365]]"
random_4x6_d0,4,0,4,6,2400,2400,0.03,50.0,50.0,0.24049503948947668,0.2471637835299415,1,0.029999999999999583,0.03000000000000025,-6.661338147750939e-16,0.3920796691126997,0.058621562272541526,0.06098543577280158,0.02352262011476874,0.023012561980650253,56.45428827544498,55.230148753560606,0.0,0.0,0.0,0.0,False,"[[0.04007945712038405, 0.061275368608840614, 0.033517921526313596, 0.05502148441503522, 0.06803328914018517, 0.05167150166509495], [0.0362764134920925, 0.02529196783327861, 0.043122773761566716, 0.03535367284445598, 0.04629608808720093, 0.033280972937643094], [0.06384340955764739, 0.03182144344849142, 0.0424356219191447, 0.0473880592543737, 0.02352262011476874, 0.028247940742882435], [0.03517551629676516, 0.027595114353123812, 0.05990069767977222, 0.04361660191012369, 0.032110285392123565, 0.035121777898691746]]","[[0.023012561980650253, 0.03556933526560858, 0.07559433530078961, 0.05514038221029249, 0.025283105986113507, 0.03180906934118342], [0.048926938170896876, 0.02584923162823289, 0.04872174538755506, 0.028979308697636708, 0.031113825420247362, 0.03361045123289142], [0.02601539908902889, 0.02551933333598197, 0.03249889215924292, 0.03235724581377551, 0.05640147720589543, 0.04157110286249273], [0.039772858947899496, 0.05889936509243236, 0.07083947764312636, 0.05302723083907849, 0.05374617004636895, 0.045741156342578845]]"
random_4x6_d1,4,1,4,6,1200,2400,0.07,20.0,5.0,0.39667363217593393,0.40108819459079853,1,0.0700000000000005,0.07000000000000028,2.220446049250313e-16,0.5638156394170668,0.13542364507917917,0.1328018316469259,0.014064009741239046,0.00937482257181695,16.876811689486857,22.499574172360678,0.0,0.0,0.0,0.0,False,"[[0.04839929252128393, 0.0644033922156442, 0.05230380317394337, 0.021014609383173354, 0.04866736835879819, 0.04161092489633208], [0.0509241318281107, 0.02051612404861415, 0.07478330647903127, 0.02879185321974963, 0.025311649800048488, 0.046797909957415916], [0.030070230086106372, 0.016664533265541834, 0.03738091707889165, 0.05066112728559617, 0.04243521053201198, 0.033496138010736254], [0.07036204414946157, 0.031044233276036434, 0.019514933409694568, 0.014064009741239046, 0.053065647150483, 0.077716610132056]]","[[0.06583234546053818, 0.02922972972048503, 0.08108814484351796, 0.00937482257181695, 0.05665409824163973, 0.03995105654148758], [0.08671105237750051, 0.0328320291526242, 0.03889303226626975, 0.08179930558105715, 0.06865178036746834, 0.07886500289815418], [0.06530208138742002, 0.031472818815244955, 0.027622327049031857, 0.01508762757087379, 0.0223663690236011, 0.013370392811629933], [0.039005109569247375, 0.03219029011901708, 0.016325668129670918, 0.011167179158480587, 0.039252269062255235, 0.016955467280967557]]"
random_4x6_d2,4,2,4,6,600,2400,0.15,5.0,1.2,0.6100893939754359,0.8553854151493392,1,0.14999999999999947,0.1499999999999999,-4.440892098500626e-16,1.0929726209924335,0.2572394271815934,0.24726018640268313,0.00571886798806053,0.0004209060270175724,3.431320792836318,1.0101744648421738,0.0,0.0,0.0,0.0,False,"[[0.013687849867391862, 0.007508153605115363, 0.03020643965067854, 0.00571886798806053, 0.14611955517270217, 0.032646211814816944], [0.03078492760769142, 0.03524543041822159, 0.008797980234377683, 0.008859796701974626, 0.09496680047144526, 0.048129207912187], [0.031083950428656998, 0.028763040828934786, 0.020258197887231762, 0.022585799294374452, 0.09409472846335995, 0.10910861071128079], [0.06589776391947422, 0.04019026307492092, 0.06676352134580295, 0.01293935553001133, 0.035799221594349, 0.009844325476939803]]","[[0.013846843039876664, 0.0006095087903569583, 0.006860749524946967, 0.0006002541823787508, 0.0004209060270175724, 0.017110268919431973], [0.1005780027455379, 0.0029353038912234464, 0.007830311668077608, 0.0111496031712718, 0.0023197231586526592, 0.0028910861850062436], [0.0176819138754483, 0.011668192196034525, 0.04867150012100996, 0.041032705564889846, 0.02017618589418213, 0.038374290977000056], [0.20408985682208253, 0.10626577899584122, 0.12636075613550912, 0.009363327443875018, 0.047652414709691615, 0.16151051596065713]]"
random_4x6_d3,4,3,4,6,4800,4800,0.03,1.0,0.5,0.25675012911860623,0.2373206758322182,1,0.03000000000001979,0.030000000000000027,1.9761969838327786e-14,0.7171248529765402,0.05982307387159307,0.05828795799843846,0.0016956617239818734,0.0018824354014959862,8.139176275112993,9.035689927180734,0.0,0.0,0.0,0.0,False,"[[0.07530462439264707, 0.04362167432295935, 0.031704802925147955, 0.06023722196997948, 0.05295091611097639, 0.009668823272350122], [0.01567512767542427, 0.038456020299356804, 0.02433340861908076, 0.037817096613950704, 0.024699456691292913, 0.004976946737235572], [0.011649229419202798, 0.012618357037461916, 0.01367175596737864, 0.02730066802696696, 0.008612518303504037, 0.0016956617239818734], [0.07239710412293748, 0.13072502995176777, 0.08102037145691825, 0.08044362013453529, 0.1268341315374977, 0.01358543268744597]]","[[0.09759732026079747, 0.06044892258875326, 0.01594986848290742, 0.11776461383298495, 0.01984874990162115, 0.024597550090788636], [0.0098305878681683, 0.018326893889061308, 0.0018824354014959862, 0.015737271795745893, 0.006071731473156231, 0.006436418087425619], [0.04905160444293185, 0.08186942580182331, 0.00880130811951443, 0.0652188642203193, 0.039855455719506286, 0.02199092373502507], [0.04627481271734373, 0.10664253548126132, 0.013890586573610425, 0.12281008296968399, 0.0284660137795733, 0.02063602276650085]]"
random_4x6_d4,4,4,4,6,480,960,0.07,10.0,0.8,0.3837043536981058,0.475984112061433,1,0.06999999999999984,0.0700000000000005,-6.661338147750939e-16,0.6120473338270922,0.13661662051227574,0.12126789948546547,0.007369186906669323,0.00137616482546378,3.537209715201275,1.3211182324452289,0.0,0.0,0.0,0.16666666666666666,False,"[[0.020051698391820055, 0.041932629287674286, 0.07184246425805187, 0.011131987633472692, 0.007369186906669323, 0.025153285601585675], [0.07711981247620432, 0.02186686878449337, 0.04270968134781188, 0.019995413185257476, 0.015762893135508518, 0.03868186937839517], [0.026787412097556182, 0.0858828651306679, 0.0598809502498454, 0.041687297625427715, 0.01934549099755705, 0.04426980756784526], [0.0667358994441606, 0.06966261734257838, 0.054937922809109876, 0.030713152865092325, 0.05878869578384257, 0.04769009769937209]]","[[0.038089177681003755, 0.07665906781272819, 0.015457903429100094, 0.0333142494776437, 0.0014493444155385562, 0.04625931201751676], [0.055495049105979605, 0.039844691977547295, 0.03121471369331624, 0.04036411461312049, 0.00137616482546378, 0.0519102420076125], [0.036798072515339786, 0.0725176506913144, 0.005532354406760733, 0.01282442103135037, 0.0047539614939890425, 0.09561983084047569], [0.07367328256060837, 0.04288254156714855, 0.048824863469805885, 0.08919950404961037, 0.00663724301996151, 0.07930224329706437]]"
random_4x6_d5,4,5,4,6,240,960,0.15,2.0,20.0,0.8994122208543863,0.6308556848711122,1,0.15000000000004787,0.1499999999999999,4.796163466380676e-14,0.9157671155649909,0.24940645249201976,0.23890678467032878,0.00036928467007001087,0.005090054536589132,0.08862832081680261,4.8864523551255665,0.041666666666666664,0.0,0.4583333333333333,0.0,True,"[[0.002237592379318054, 0.03444758188207116, 0.00041025977683468507, 0.00036928467007001087, 0.018158604912889013, 0.0004101730871861341], [0.037073442070973454, 0.1743267324856433, 0.008564864735141328, 0.04613934942257239, 0.052840174392664696, 0.013725489342367201], [0.1899735750098728, 0.10269303495531976, 0.06686138889690288, 0.042936115718663966, 0.09708209888388213, 0.03388278106455591], [0.00223197563083486, 0.007789056031308552, 0.0207440125289548, 0.003076487029704805, 0.025723266922482783, 0.01830265816978524]]","[[0.01882032241361683, 0.005090054536589132, 0.026196789299344977, 0.02837724931318729, 0.05671825518665552, 0.038603602963778995], [0.07145503036645955, 0.028772569180627677, 0.052256451312793516, 0.014885631327400374, 0.010106027184407172, 0.10428127567021482], [0.04697554905385024, 0.09952095072861028, 0.05290652753454074, 0.09341072680599764, 0.07462526863887604, 0.031199131203121077], [0.011511336984926186, 0.013789434447445547, 0.011083908097906025, 0.04718206349369339, 0.0116648211764985, 0.05056702307945859]]"
